area,price
2360,221900
4740,538000
1540,180000
3010,604000
3360,510000
9310,1230000
3430,257500
2120,291850
2830,229500
3780,323000
5420,662500
2020,468000
2860,310000
2740,400000
3620,530000
4930,650000
3780,395000
3200,485000
2400,189000
2500,230000
2480,385000
5380,2000000
4540,285000
2140,252700
4900,329000
3420,233000
4200,937000
2800,667000
2310,438000
5140,719000
4640,580500
2380,280000
3840,687500
2180,535000
3340,322500
3810,696000
2590,550000
4720,640000
2110,240000
5240,605000
5140,625000
6820,775000
7190,861990
3140,685000
2200,309000
6320,488000
1980,210490
4580,785000
2500,450000
4918,1350000
2380,228000
4790,345000
2410,600000
2970,585000
4860,920000
5660,885000
4500,292500
4840,301000
6500,951000
3700,430000
3740,650000
2520,289000
5038,505000
3080,549000
2770,425000
4540,317625
5440,975000
4480,287000
2000,204000
4800,1330000
7840,1040000
2520,325000
5000,571000
4760,360000
2880,349000
5820,832500
2640,380000
2080,480000
2320,410000
6900,720000
4700,390000
3800,360000
3030,355000
3360,356000
1920,315000
4040,940000
5320,305000
4750,461000
3220,215000
1795,335000
3960,243500
7040,1100000
2400,153000
2870,430000
2870,700000
5690,905000
3920,247500
2320,199000
3020,314000
4640,437500
3340,850830
3420,555000
4380,699950
5840,1090000
2420,290000
3800,375000
2840,460000
2480,188500
6280,680000
4060,470000
4620,597750
1960,570000
2700,272500
3160,329950
5750,480000
7160,740500
3180,518500
1760,205425
3140,171800
3220,535000
3960,660000
2900,391500
1540,395000
3820,445000
5820,770000
4730,1450000
3720,445000
3520,260000
4040,822500
4140,430000
2120,212000
3450,660500
6410,784000
3400,453246
4280,675000
2640,199000
3030,220000
3930,452000
2380,382500
2340,519950
2220,665000
4370,527700
2620,205000
2000,420000
3410,500000
7340,921500
4920,890000
4840,430000
3390,258000
2410,511000
2720,532170
2220,560000
2500,282950
8720,2250000
1400,350000
2360,215000
6460,650000
4260,320000
2540,247000
3520,320000
3090,255000
3560,438000
6800,900000
3070,441000
3030,420000
2760,370000
2040,269950
5360,807100
4290,653000
2740,371500
3120,284000
3830,272000
2680,313000
6450,917500
5180,673000
1940,425000
3290,399950
2440,385000
3270,269950
2410,330000
3340,260000
4060,470000
4880,589000
2100,163500
5270,835000
6180,1100000
2590,269000
3800,560000
2660,615000
3660,585188
2870,305000
2380,166950
4280,799000
3600,400000
2120,230000
3380,256883
3100,423000
4300,465000
3820,440000
2700,385000
1720,210000
3880,297000
2020,470000
2200,226500
1820,274250
4110,840000
4880,677900
2020,425000
1800,180250
3900,464000
3100,320000
2330,625504
4480,592500
5428,465000
3440,477000
1700,280000
5170,1510000
4500,445838
5850,1070000
2640,467000
5520,686000
3100,279950
4660,527000
4000,325000
4040,328000
2500,390000
3020,479950
2840,264950
2410,235000
2960,516500
2680,655000
4560,500000
4720,315000
2000,213000
4100,475000
7520,1030000
3860,416000
3640,410000
7360,800000
6760,472000
2860,225000
1660,210000
2860,455000
2600,225000
1820,480000
5480,363000
5480,2400000
1440,181000
4020,250000
2330,481000
3050,260000
6720,455000
3020,415000
2200,349500
3460,245000
2840,592500
3540,385000
2780,315000
2460,255000
4920,693000
3120,780000
2540,237000
3420,525000
1540,425000
1520,369900
3400,290000
2240,285000
2140,415000
3490,272500
9800,2900000
10620,1370000
2080,436000
3400,210000
2600,236000
1660,331000
5306,365000
4580,450000
6670,770000
4420,455000
3630,405000
4210,304900
1720,170000
6460,2050000
7000,780000
4160,330000
5440,370000
4350,467000
2810,405000
4350,675000
2780,500000
3780,389999
4730,630000
4320,360000
5550,580000
3240,550000
6720,879000
2640,265000
5300,446500
3360,404000
2680,267500
7150,3080000
4880,335000
2910,576000
4080,208633
3320,315000
2880,725000
3200,550000
4360,610750
2020,550700
5540,665000
4350,834000
3320,201000
7020,2380000
6980,1380000
6980,1400000
3300,305000
4310,487000
3860,390000
2640,548000
1600,268750
6300,819900
4060,520000
2900,230000
3020,240000
2200,232000
2200,240500
6060,274975
4100,740000
2000,186375
3960,790000
4690,880000
4480,279000
3620,295000
2140,640000
4980,940000
3920,260000
4790,559900
3020,791500
2840,265000
3480,245000
5120,485000
5460,684000
3800,425000
2550,309600
5160,552250
2000,165000
2000,239900
2140,320000
2780,206600
3750,387000
1120,299000
4540,855000
3200,315000
1780,437500
2600,252000
3300,375000
3820,300000
3500,420000
2660,900000
4420,679900
3280,463000
5520,380000
3640,329500
3450,604950
4680,795000
3680,465000
5980,673000
7040,810000
4350,785000
3460,338000
2860,280000
3280,315000
3280,530000
6900,380000
2900,297000
6460,730000
2750,450000
2650,275000
4040,595000
2600,435000
2760,270000
7070,950000
4260,389000
4130,560000
8280,1350000
5020,799000
2820,365500
2810,252350
4240,403950
3420,385000
3100,345000
3960,490000
3200,330000
6600,927000
7680,1120000
2440,330000
4220,530000
3880,365000
3420,378750
3060,269900
3000,557000
5880,360000
1880,352000
3500,437000
3640,322500
2840,650000
2580,450000
3140,278500
3860,364950
5680,840000
3100,268000
1666,517534
5980,632925
4000,577500
4780,339000
4440,570000
3695,563500
3490,423000
3720,355000
12140,1550000
1900,482000
3200,625000
4500,538000
4560,380000
1880,375000
2560,245000
4380,310000
4120,1300000
2640,397000
4400,365000
4580,328500
8080,988000
4530,1000000
2980,237000
4900,525000
3150,749000
8340,722500
6260,843000
2540,438000
3660,578000
3340,227950
4140,196000
2490,641000
2500,350000
1880,205000
3840,400000
6155,1030000
2520,505000
3640,475000
4030,520000
7230,1450000
2440,333500
2800,232000
4070,691100
3740,811000
5660,551000
4520,496500
3740,705000
4910,578000
2480,255000
6900,1050000
5140,348000
3020,230000
4780,359500
1960,330000
860,80000
2960,465000
3700,325000
4190,340500
3620,342500
3220,290900
7680,868700
7240,1200000
7340,1150000
6780,859900
3780,520000
2690,460000
1900,438924
1260,315000
4690,590000
2550,378500
3900,328500
5980,849950
2250,525000
9720,1390000
3620,295000
8720,1070000
1780,207950
5620,699900
6800,1280000
2540,452000
3360,370000
2600,232000
5200,669950
2580,397500
2100,490000
3820,725000
4690,299000
2680,625000
4240,437500
6360,650000
2350,475000
3860,342000
5540,1200000
3340,280000
2660,240000
2420,529000
2220,442000
2360,615000
8060,1490000
4010,585000
5200,480000
8820,1100000
2660,290000
2850,615000
2200,300000
3560,308000
4800,750000
8150,2250000
6360,890000
2380,288000
1260,190000
4050,515000
3380,235000
1880,275000
2480,727500
6080,650000
12100,1600000
3180,365000
5000,662000
3100,270500
2720,200000
9480,970000
2020,160000
2080,204000
3220,358000
3140,452000
2520,595000
2720,249000
3940,346900
10806,2130000
3120,280000
4590,318888
4240,530000
4240,375000
6700,910000
4760,782000
1790,259950
3860,315000
2640,215000
3320,705000
7960,1450000
3580,451000
1500,261000
2600,396000
5980,725000
7500,1950000
2800,238000
5500,750000
4100,331500
3640,460000
4680,404950
5740,880000
8240,863000
3450,638700
3680,435000
2360,260000
3690,671500
2360,610000
2030,405000
3660,338900
6400,720000
4320,442000
5100,650000
2370,263500
2440,300000
3610,266000
10200,930000
4640,530000
2768,180000
5440,619000
3640,264000
3660,730000
4120,439000
2500,268500
3020,330000
4120,640000
6360,900000
4220,370000
3390,685000
2840,505000
3640,265000
3220,290000
3560,296000
3680,360000
2450,240500
2800,372500
6740,595000
7180,515000
6400,1220000
3340,507000
4840,399950
2860,185000
2880,460000
2900,435500
5650,469000
2380,531000
1880,443500
2970,223000
5500,590000
2200,340000
3100,650000
3860,533600
5080,695000
2560,242000
3100,425000
2980,525000
3760,485000
2500,175000
2880,210000
3840,260000
3390,577000
2420,200000
2700,605000
1980,325000
1780,289500
3320,559950
3230,1040000
2260,543500
6500,480000
1920,218000
2290,565000
3680,426700
4820,650000
1660,542000
2140,415000
2400,214000
2720,245000
4100,314500
5000,1120000
2100,378000
3590,305000
5720,595000
3190,729500
4720,430000
2910,240000
3360,545000
2190,530000
1740,157000
2520,425000
2000,220000
3570,521000
3040,325000
3530,597500
2940,337000
6360,1000000
6260,3070000
1980,495000
4740,748000
2500,888000
2280,269900
3800,496500
3280,475000
2510,312000
2580,323000
2600,331000
2440,306000
5260,655000
3900,290000
5520,1250000
2410,460000
2550,435000
4140,664000
3600,865000
3000,385000
3220,497000
2020,280000
2240,188000
3290,478500
8740,1150000
2410,222000
5160,799000
6380,609900
4130,413000
2840,400000
5980,802541
5360,320000
5460,507000
2440,387500
3000,396000
3260,373000
9140,1480000
4940,359900
1470,410000
5800,690000
2820,245000
4440,700000
2780,268000
2680,225000
4480,980000
2760,795000
1640,195000
3910,480000
2500,485000
1760,130000
2120,325000
3060,440000
3940,550000
2980,310000
6920,530000
4680,390000
2900,243000
4420,639000
2260,215000
2650,405000
2720,250000
2020,405500
