price,sqft_living,sqft_lot,sqft_above,sqft_basement
221900,1180,5650,1180,0
538000,2570,7242,2170,400
180000,770,10000,770,0
604000,1960,5000,1050,910
510000,1680,8080,1680,0
1.23E+06,5420,101930,3890,1530
257500,1715,6819,1715,0
291850,1060,9711,1060,0
229500,1780,7470,1050,730
323000,1890,6560,1890,0
662500,3560,9796,1860,1700
468000,1160,6000,860,300
310000,1430,19901,1430,0
400000,1370,9680,1370,0
530000,1810,4850,1810,0
650000,2950,5000,1980,970
395000,1890,14040,1890,0
485000,1600,4300,1600,0
189000,1200,9850,1200,0
230000,1250,9774,1250,0
385000,1620,4980,860,760
2.00E+06,3050,44867,2330,720
285000,2270,6300,2270,0
252700,1070,9643,1070,0
329000,2450,6500,2450,0
233000,1710,4697,1710,0
937000,2450,2691,1750,700
667000,1400,1581,1400,0
438000,1520,6380,790,730
719000,2570,7173,2570,0
580500,2320,3980,2320,0
280000,1190,1265,1190,0
687500,2330,5000,1510,820
535000,1090,3000,1090,0
322500,2060,6659,1280,780
696000,2300,3060,1510,790
550000,1660,34848,930,730
640000,2360,6000,2360,0
240000,1220,8075,890,330
605000,2620,7553,2620,0
625000,2570,5520,2570,0
775000,4220,24186,2600,1620
861990,3595,5639,3595,0
685000,1570,2280,1570,0
309000,1280,9656,920,360
488000,3160,13603,3160,0
210490,990,8528,990,0
785000,2290,13416,2290,0
450000,1250,5963,1250,0
1.35E+06,2753,65005,2165,588
228000,1190,9199,1190,0
345000,3150,9134,1640,1510
600000,1410,4080,1000,410
585000,1980,8550,990,990
920000,2730,6000,2130,600
885000,2830,5000,2830,0
292500,2250,4495,2250,0
301000,2420,4750,2420,0
951000,3250,14342,3250,0
430000,1850,9976,1850,0
650000,2150,21235,1590,560
289000,1260,8400,1260,0
505000,2519,8690,2519,0
549000,1540,1044,1540,0
425000,1660,6000,1110,550
317625,2770,3809,1770,1000
975000,2720,11049,2720,0
287000,2240,4648,2240,0
204000,1000,12070,1000,0
1.33E+06,3200,20158,1600,1600
1.04E+06,4770,50094,3070,1700
325000,1260,5612,1260,0
571000,2750,7807,2250,500
360000,2380,5000,2380,0
349000,1790,50529,1090,700
832500,3430,35102,2390,1040
380000,1760,7300,880,880
480000,1040,5060,1040,0
410000,1410,5060,910,500
720000,3450,39683,3450,0
390000,2350,5100,2350,0
360000,1900,5889,1900,0
355000,2020,6720,1010,1010
356000,1680,8712,1680,0
315000,960,6634,960,0
940000,2140,3600,1900,240
305000,2660,8400,2660,0
461000,2770,6278,1980,790
215000,1610,2040,1610,0
335000,1030,1066,765,265
243500,1980,7403,1980,0
1.10E+06,3520,6353,3520,0
153000,1200,10500,1200,0
430000,1580,5000,1290,290
700000,1580,5000,1290,290
905000,3300,10250,2390,910
247500,1960,15681,1960,0
199000,1160,6400,1160,0
314000,1810,41800,1210,600
437500,2320,36847,2320,0
850830,2070,13241,1270,800
555000,1980,3478,1440,540
699950,2190,107593,2190,0
1.09E+06,2920,8113,2920,0
290000,1210,33919,1210,0
375000,2340,10005,1460,880
460000,1670,4005,1170,500
188500,1240,2493,1240,0
680000,3140,28037,3140,0
470000,2030,12342,2030,0
597750,2310,9624,2310,0
570000,1260,3328,700,560
272500,1540,12600,1160,380
329950,2080,5969,1080,1000
480000,3230,16171,2520,710
740500,4380,6350,2780,1600
518500,1590,1102,1590,0
205425,880,6780,880,0
171800,1570,9600,1570,0
535000,1610,2982,1610,0
660000,2400,6474,1560,840
391500,1450,9132,1450,0
395000,770,6000,770,0
445000,2100,4400,1720,380
770000,2910,10204,2910,0
1.45E+06,2750,17789,1980,770
445000,2100,8201,1620,480
260000,2160,8811,1360,800
822500,2320,4960,1720,600
430000,2070,4310,2070,0
212000,1060,7875,1060,0
660500,2010,9603,1440,570
784000,3950,111078,2460,1490
